epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2207.49,0.99894,0.68768,1.12744,0.87228,0.78893,0.88241,0.57168,1.14171,0.70369,1.28275,0.0077824,0.0077824,0.0077824
114,2227.9,1.00943,0.69542,1.13078,0.83222,0.80343,0.8786,0.56912,1.15183,0.72473,1.28878,0.0077626,0.0077626,0.0077626
115,2248.83,0.98765,0.69571,1.12812,0.84352,0.77633,0.86405,0.56055,1.14214,0.73605,1.28345,0.0077428,0.0077428,0.0077428
116,2269.8,1.01611,0.69929,1.12414,0.82447,0.85237,0.89148,0.568,1.16534,0.69557,1.29775,0.007723,0.007723,0.007723
117,2289.79,0.99112,0.69069,1.12143,0.85838,0.7701,0.86531,0.56108,1.19668,0.73754,1.29419,0.0077032,0.0077032,0.0077032
118,2310.47,0.99279,0.69099,1.12883,0.86018,0.79291,0.87541,0.57705,1.13684,0.67637,1.28038,0.0076834,0.0076834,0.0076834
119,2331.22,0.996,0.68486,1.11838,0.88494,0.80059,0.89699,0.57937,1.16344,0.67287,1.2938,0.0076636,0.0076636,0.0076636
120,2350.98,0.99888,0.69306,1.12282,0.85736,0.79244,0.88415,0.58412,1.13292,0.69025,1.28284,0.0076438,0.0076438,0.0076438
121,2370.2,0.99242,0.69175,1.14592,0.86572,0.77654,0.88191,0.57007,1.13916,0.71138,1.30073,0.007624,0.007624,0.007624
122,2390.95,0.97873,0.6862,1.12599,0.81792,0.81942,0.88126,0.56662,1.16242,0.70608,1.29779,0.0076042,0.0076042,0.0076042
123,2410.8,1.00289,0.68898,1.13776,0.8745,0.78433,0.89291,0.5704,1.16229,0.69241,1.28038,0.0075844,0.0075844,0.0075844
124,2430.62,0.98677,0.66867,1.1198,0.86777,0.80246,0.89633,0.57955,1.13256,0.67959,1.27756,0.0075646,0.0075646,0.0075646
125,2451.84,0.98608,0.67503,1.12681,0.86856,0.82178,0.88999,0.57274,1.14467,0.68046,1.30614,0.0075448,0.0075448,0.0075448
126,2472.56,0.99271,0.66202,1.12111,0.83104,0.82368,0.89525,0.573,1.17294,0.6779,1.31161,0.007525,0.007525,0.007525
127,2493.19,0.99099,0.6945,1.12206,0.86695,0.80507,0.88131,0.56282,1.18362,0.68548,1.33946,0.0075052,0.0075052,0.0075052
128,2515.18,0.98123,0.67478,1.11571,0.8497,0.83015,0.88577,0.57044,1.14852,0.70709,1.27003,0.0074854,0.0074854,0.0074854
129,2535.24,0.97714,0.6585,1.11553,0.83597,0.82928,0.88912,0.57874,1.1538,0.68242,1.2932,0.0074656,0.0074656,0.0074656
